map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[15:51:11.451] WARN  [n10_Sianna] [0x21] move REJECTED seq=4; server says (633,857,0) facing=2
[15:51:12.216] WARN  [n10_Sianna] [0x21] move REJECTED seq=1; server says (633,857,0) facing=4
[15:51:12.981] WARN  [n10_Sianna] [0x21] move REJECTED seq=1; server says (633,857,0) facing=5
[15:53:52.530] WARN  [n10_Sianna] [0x21] move REJECTED seq=40; server says (2000,2856,14) facing=7
[15:53:53.283] WARN  [n10_Sianna] [0x21] move REJECTED seq=0; server says (2000,2856,14) facing=7
[15:54:08.022] WARN  [n10_Sianna] [0x21] move REJECTED seq=31; server says (1948,2848,7) facing=7
[15:54:08.735] WARN  [n10_Sianna] [0x21] move REJECTED seq=0; server says (1948,2848,7) facing=7
[15:54:16.491] WARN  [n10_Sianna] [0x21] move REJECTED seq=33; server says (1947,2822,0) facing=1
[15:54:17.248] WARN  [n10_Sianna] [0x21] move REJECTED seq=0; server says (1947,2822,0) facing=1
[15:54:30.930] WARN  [n10_Sianna] [0x21] move REJECTED seq=38; server says (1952,2798,10) facing=7
[15:54:31.684] WARN  [n10_Sianna] [0x21] move REJECTED seq=0; server says (1952,2798,10) facing=7
[15:55:17.223] WARN  [n10_Sianna] [bot] no path to (1895,2653) avoiding 0 block(s); stopping (search 1863352.0us)
[15:55:17.223] WARN  [n10_Sianna] [bot] start (1912,2664,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 498 item(s), 2 mobile(s))
[15:55:28.886] WARN  [n10_Sianna] [bot] no path to (1898,2651) avoiding 0 block(s); stopping (search 1511150.6us)
[15:55:28.886] WARN  [n10_Sianna] [bot] start (1895,2653,10) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 516 item(s), 2 mobile(s))
[15:55:32.968] WARN  [n10_Sianna] [bot] no path to (1898,2651) avoiding 0 block(s); stopping (search 1217125.5us)
[15:55:32.968] WARN  [n10_Sianna] [bot] start (1895,2653,10) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 516 item(s), 2 mobile(s))
[15:55:47.589] WARN  [n10_Sianna] [ACTION_RESULT] npc_train invalid_state (0ms) You already know as much as I can teach of Tactics
[15:55:53.995] WARN  [n10_Sianna] [bot] no path to (1895,2649) avoiding 0 block(s); stopping (search 1654898.9us)
[15:55:53.995] WARN  [n10_Sianna] [bot] start (1898,2651,10) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 516 item(s), 2 mobile(s))
[15:56:00.381] WARN  [n10_Sianna] [bot] no path to (1896,2652) avoiding 0 block(s); stopping (search 1757828.5us)
[15:56:00.381] WARN  [n10_Sianna] [bot] start (1898,2651,10) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 516 item(s), 2 mobile(s))
[15:56:05.401] WARN  [n10_Sianna] [bot] no path to (1899,2652) avoiding 0 block(s); stopping (search 1654559.8us)
[15:56:05.401] WARN  [n10_Sianna] [bot] start (1897,2652,10) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 516 item(s), 2 mobile(s))
[15:56:10.214] WARN  [n10_Sianna] [bot] no path to (1896,2654) avoiding 0 block(s); stopping (search 1152859.7us)
[15:56:10.214] WARN  [n10_Sianna] [bot] start (1898,2652,10) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 516 item(s), 2 mobile(s))
[15:56:15.044] WARN  [n10_Sianna] [bot] no path to (1894,2655) avoiding 0 block(s); stopping (search 1184835.7us)
[15:56:15.044] WARN  [n10_Sianna] [bot] start (1896,2654,10) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 516 item(s), 2 mobile(s))
[15:56:18.251] WARN  [n10_Sianna] [bot] no path to (1891,2653) avoiding 0 block(s); stopping (search 1142070.6us)
[15:56:18.251] WARN  [n10_Sianna] [bot] start (1896,2654,10) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 516 item(s), 2 mobile(s))
[15:56:34.094] WARN  [n10_Sianna] [0x21] move REJECTED seq=14; server says (1896,2664,0) facing=3
[15:56:34.109] WARN  [n10_Sianna] [bot] 0x20 resync; aborting path
[15:56:58.825] WARN  [n10_Sianna] [0x21] move REJECTED seq=11; server says (1904,2687,7) facing=1
[15:56:58.840] WARN  [n10_Sianna] [bot] 0x20 resync; aborting path
[15:57:13.520] WARN  [n10_Sianna] [ACTION_RESULT] npc_train invalid_state (1ms) You already know as much as I can teach of Tactics
[15:57:18.119] WARN  [n10_Sianna] [travel] route exhausted at (1891,2653,10); trying to reach (1880,2648,0) to get somewhere routable (escape 1/3)
[15:57:30.597] WARN  [n10_Sianna] [travel] route exhausted at (1880,2648,0); trying to reach (1864,2664,-10) to get somewhere routable (escape 2/3)
[15:57:38.244] WARN  [n10_Sianna] [travel] route exhausted at (1864,2664,-10); trying to reach (1848,2648,0) to get somewhere routable (escape 3/3)
[16:01:17.573] WARN  [n10_Sianna] [0x21] move REJECTED seq=31; server says (1946,2840,22) facing=3
[16:01:18.312] WARN  [n10_Sianna] [0x21] move REJECTED seq=0; server says (1946,2840,22) facing=3
[16:01:24.778] WARN  [n10_Sianna] [bot] goal (1990,2872) is not walkable; skipping A* and stopping
[16:01:26.128] WARN  [n10_Sianna] [bot] goal (1990,2872) is not walkable; skipping A* and stopping
[16:01:27.474] WARN  [n10_Sianna] [bot] goal (1990,2872) is not walkable; skipping A* and stopping
[16:03:10.584] WARN  [n10_Sianna] [bot] THREAT (HP 24 -> 18): halting travel (TODO engage/flee/recall)
[16:04:58.454] WARN  [n10_Sianna] [0x21] move REJECTED seq=24; server says (2654,2169,2) facing=3
[16:06:06.900] WARN  [n10_Sianna] [0x21] move REJECTED seq=147; server says (1850,2958,5) facing=1
[16:06:07.607] WARN  [n10_Sianna] [0x21] move REJECTED seq=0; server says (1850,2958,5) facing=1
[16:08:04.411] WARN  [n10_Sianna] [0x21] move REJECTED seq=37; server says (1941,2831,17) facing=7
[16:08:05.141] WARN  [n10_Sianna] [0x21] move REJECTED seq=0; server says (1941,2831,17) facing=7
[16:08:24.084] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:08:25.371] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:08:26.750] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:08:29.679] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:08:31.030] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:08:32.315] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:08:36.674] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:08:37.966] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:08:39.311] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:08:45.135] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:08:46.430] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:08:47.721] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:08:47.783] WARN  [n10_Sianna] [travel] route exhausted at (1896,2824,6); trying to reach (1880,2808,10) to get somewhere routable (escape 1/3)
[16:08:59.940] WARN  [n10_Sianna] [0x21] move REJECTED seq=16; server says (1884,2814,10) facing=5
[16:08:59.940] WARN  [n10_Sianna] [bot] 0x20 resync; aborting path
[16:13:13.361] WARN  [n10_Sianna] [bot] 0x20 resync; aborting path
[16:13:15.873] WARN  [n10_Sianna] [ACTION_RESULT] npc_train invalid_state (0ms) You know more about Tactics than I do
[16:14:00.164] WARN  [n10_Sianna] [bot] 0x20 resync; aborting path
[16:14:04.210] WARN  [n10_Sianna] [bot] no path to (1419,3780) avoiding 0 block(s); stopping (search 1429940.8us)
[16:14:04.211] WARN  [n10_Sianna] [bot] start (1413,3783,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1829 item(s), 6 mobile(s))
[16:15:01.257] WARN  [n10_Sianna] [bot] no path to (1448,3766) avoiding 0 block(s); stopping (search 888.9us)
[16:15:01.257] WARN  [n10_Sianna] [bot] start (1419,3780,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1844 item(s), 5 mobile(s))
[16:15:02.591] WARN  [n10_Sianna] [bot] no path to (1448,3766) avoiding 0 block(s); stopping (search 1399.5us)
[16:15:02.591] WARN  [n10_Sianna] [bot] start (1419,3780,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1844 item(s), 5 mobile(s))
[16:15:03.947] WARN  [n10_Sianna] [bot] no path to (1448,3766) avoiding 0 block(s); stopping (search 1006.5us)
[16:15:03.947] WARN  [n10_Sianna] [bot] start (1419,3780,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1844 item(s), 6 mobile(s))
[16:15:06.833] WARN  [n10_Sianna] [bot] no path to (1448,3784) avoiding 0 block(s); stopping (search 1546.2us)
[16:15:06.833] WARN  [n10_Sianna] [bot] start (1419,3780,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1844 item(s), 6 mobile(s))
[16:15:08.208] WARN  [n10_Sianna] [bot] no path to (1448,3784) avoiding 0 block(s); stopping (search 1283.0us)
