start: Delwyn is a tailor and lives in Trinsic -> starting city index 4
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[16:38:18.504] WARN  [n10_Delwyn] [0x21] move REJECTED seq=41; server says (1872,2698,3) facing=2
[16:38:20.497] WARN  [n10_Delwyn] [0x21] move REJECTED seq=5; server says (1872,2698,3) facing=1
[16:38:22.457] WARN  [n10_Delwyn] [0x21] move REJECTED seq=5; server says (1872,2698,3) facing=1
[16:38:23.443] WARN  [n10_Delwyn] [0x21] move REJECTED seq=3; server says (1872,2699,4) facing=1
[16:38:24.858] WARN  [n10_Delwyn] [0x21] move REJECTED seq=3; server says (1872,2698,3) facing=2
[16:38:41.815] WARN  [n10_Delwyn] [0x21] move REJECTED seq=71; server says (1911,2671,0) facing=3
[16:38:42.566] WARN  [n10_Delwyn] [0x21] move REJECTED seq=0; server says (1911,2671,0) facing=3
[16:38:49.251] WARN  [n10_Delwyn] [0x21] move REJECTED seq=27; server says (1905,2691,0) facing=5
[16:38:49.985] WARN  [n10_Delwyn] [0x21] move REJECTED seq=0; server says (1905,2691,0) facing=5
[16:39:30.697] WARN  [n10_Delwyn] [0x21] move REJECTED seq=11; server says (1904,2687,7) facing=1
[16:39:30.712] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[16:39:44.399] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[16:39:47.457] WARN  [n10_Delwyn] [travel] route exhausted at (1895,2658,0); trying to reach (1898,2648,10) to get somewhere routable (escape 1/3)
[16:39:51.391] WARN  [n10_Delwyn] [travel] route exhausted at (1898,2648,10); trying to reach (1912,2648,0) to get somewhere routable (escape 2/3)
[16:39:53.132] WARN  [n10_Delwyn] [bot] no path to (1912,2648) avoiding 0 block(s); stopping (search 1733783.0us)
[16:39:53.132] WARN  [n10_Delwyn] [bot] start (1898,2648,10) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 222 item(s), 2 mobile(s))
[16:39:53.194] WARN  [n10_Delwyn] [travel] route exhausted at (1898,2648,10); trying to reach (1896,2664,0) to get somewhere routable (escape 3/3)
[16:40:06.956] WARN  [n10_Delwyn] [travel] route exhausted at (1895,2653,10); trying to reach (1896,2664,0) to get somewhere routable (escape 1/3)
[16:40:10.124] WARN  [n10_Delwyn] [travel] route exhausted at (1896,2664,0); trying to reach (1880,2648,0) to get somewhere routable (escape 2/3)
[16:40:18.109] WARN  [n10_Delwyn] [travel] route exhausted at (1880,2648,0); trying to reach (1864,2664,-10) to get somewhere routable (escape 3/3)
[16:40:54.105] WARN  [n10_Delwyn] [travel] route exhausted at (1864,2664,-10); trying to reach (1848,2648,0) to get somewhere routable (escape 1/3)
[16:42:53.004] WARN  [n10_Delwyn] [travel] route exhausted at (1848,2648,0); trying to reach (1832,2632,20) to get somewhere routable (escape 2/3)
[16:42:54.775] WARN  [n10_Delwyn] [bot] no path to (1832,2632) avoiding 0 block(s); stopping (search 1716989.0us)
