start: Edrik is a full_crafter and lives in Yew -> starting city index 0
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[16:38:05.961] WARN  [n10_Edrik] [0x21] move REJECTED seq=32; server says (1361,1779,15) facing=7
[16:38:05.962] WARN  [n10_Edrik] [bot] 0x20 resync; aborting path
[16:39:23.761] WARN  [n10_Edrik] [bot] 0x20 resync; aborting path
[16:39:46.072] WARN  [n10_Edrik] [0x21] move REJECTED seq=12; server says (1438,1693,0) facing=5
[16:39:46.073] WARN  [n10_Edrik] [bot] 0x20 resync; aborting path
[16:43:23.758] WARN  [n10_Edrik] [0x21] move REJECTED seq=40; server says (2000,2856,14) facing=7
[16:43:24.509] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (2000,2856,14) facing=7
[16:43:40.051] WARN  [n10_Edrik] [0x21] move REJECTED seq=31; server says (1948,2848,7) facing=7
[16:43:40.801] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1948,2848,7) facing=7
[16:43:48.999] WARN  [n10_Edrik] [0x21] move REJECTED seq=33; server says (1947,2822,0) facing=1
[16:43:49.751] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1947,2822,0) facing=1
[16:44:03.698] WARN  [n10_Edrik] [0x21] move REJECTED seq=38; server says (1952,2798,10) facing=7
[16:44:04.449] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1952,2798,10) facing=7
[16:44:42.361] WARN  [n10_Edrik] [0x21] move REJECTED seq=38; server says (1912,2692,3) facing=7
[16:44:43.112] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1912,2692,3) facing=7
[16:45:18.374] WARN  [n10_Edrik] [0x21] move REJECTED seq=99; server says (1872,2671,-10) facing=5
[16:45:19.129] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1872,2671,-10) facing=5
[16:45:30.476] WARN  [n10_Edrik] [0x21] move REJECTED seq=44; server says (1852,2680,0) facing=7
[16:45:31.212] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1852,2680,0) facing=7
[16:46:14.625] WARN  [n10_Edrik] [0x21] move REJECTED seq=15; server says (1896,2664,0) facing=3
[16:46:14.626] WARN  [n10_Edrik] [bot] 0x20 resync; aborting path
[16:47:15.527] WARN  [n10_Edrik] [0x21] move REJECTED seq=37; server says (1946,2840,22) facing=3
[16:47:16.280] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1946,2840,22) facing=3
[16:47:22.617] WARN  [n10_Edrik] [bot] goal (1990,2872) is not walkable; skipping A* and stopping
[16:47:23.940] WARN  [n10_Edrik] [bot] goal (1990,2872) is not walkable; skipping A* and stopping
[16:47:25.237] WARN  [n10_Edrik] [bot] goal (1990,2872) is not walkable; skipping A* and stopping
[16:50:37.203] WARN  [n10_Edrik] [0x21] move REJECTED seq=64; server says (1422,3856,0) facing=5
[16:50:37.908] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1422,3856,0) facing=5
[16:53:07.223] WARN  [n10_Edrik] [bot] 0x20 resync; aborting path
[17:02:27.433] WARN  [n10_Edrik] [0x21] move REJECTED seq=13; server says (1360,1778,15) facing=3
[17:02:27.434] WARN  [n10_Edrik] [bot] 0x20 resync; aborting path
