start: Halric is a macer and lives in Vesper -> starting city index 8
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[16:39:48.191] WARN  [n10_Halric] [bot] 0x20 resync; aborting path
[16:39:52.485] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1675625.2us)
[16:39:52.485] WARN  [n10_Halric] [bot] start (2925,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:39:55.307] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1474554.1us)
[16:39:55.307] WARN  [n10_Halric] [bot] start (2925,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:39:58.384] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1753443.0us)
[16:39:58.384] WARN  [n10_Halric] [bot] start (2925,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:40:02.727] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1495223.1us)
[16:40:02.727] WARN  [n10_Halric] [bot] start (2925,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:40:05.574] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1525552.8us)
[16:40:05.574] WARN  [n10_Halric] [bot] start (2925,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:40:08.531] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1627785.5us)
[16:40:08.531] WARN  [n10_Halric] [bot] start (2925,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:40:14.540] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1681152.3us)
[16:40:14.540] WARN  [n10_Halric] [bot] start (2925,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:40:17.354] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1506290.2us)
[16:40:17.355] WARN  [n10_Halric] [bot] start (2925,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:40:24.766] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1590203.9us)
[16:40:24.766] WARN  [n10_Halric] [bot] start (2925,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:40:27.681] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1561415.5us)
[16:40:27.681] WARN  [n10_Halric] [bot] start (2925,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:40:27.743] WARN  [n10_Halric] [travel] route exhausted at (2925,856,0); trying to reach (2928,864,0) to get somewhere routable (escape 1/3)
[16:40:33.427] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1431960.1us)
[16:40:33.427] WARN  [n10_Halric] [bot] start (2928,864,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 2 mobile(s))
[16:40:36.012] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1259095.1us)
[16:40:36.012] WARN  [n10_Halric] [bot] start (2928,864,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 2 mobile(s))
[16:40:38.475] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1160326.3us)
[16:40:38.475] WARN  [n10_Halric] [bot] start (2928,864,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 2 mobile(s))
[16:40:42.537] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1202000.0us)
[16:40:42.538] WARN  [n10_Halric] [bot] start (2928,864,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 2 mobile(s))
[16:40:45.148] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1294432.8us)
[16:40:45.149] WARN  [n10_Halric] [bot] start (2928,864,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 2 mobile(s))
[16:40:47.608] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1112243.7us)
[16:40:47.608] WARN  [n10_Halric] [bot] start (2928,864,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 2 mobile(s))
[16:40:53.119] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1142303.7us)
[16:40:53.119] WARN  [n10_Halric] [bot] start (2928,864,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:40:55.876] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1427436.9us)
[16:40:55.876] WARN  [n10_Halric] [bot] start (2928,864,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:40:58.319] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1118801.3us)
[16:40:58.319] WARN  [n10_Halric] [bot] start (2928,864,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:41:05.611] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1429128.0us)
[16:41:05.611] WARN  [n10_Halric] [bot] start (2928,864,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:41:08.088] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1120303.1us)
[16:41:08.088] WARN  [n10_Halric] [bot] start (2928,864,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:41:10.694] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1279614.3us)
[16:41:10.694] WARN  [n10_Halric] [bot] start (2928,864,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:41:10.755] WARN  [n10_Halric] [travel] route exhausted at (2928,864,0); trying to reach (2920,856,0) to get somewhere routable (escape 2/3)
[16:41:17.505] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1037286.3us)
[16:41:17.505] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:41:19.815] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1030351.6us)
[16:41:19.815] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
