map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[16:38:50.171] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:41:05.642] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:42:18.217] WARN  [n10_Nessa] [bot] no path to (1467,1766) avoiding 0 block(s); stopping (search 1671662.6us)
[16:42:18.217] WARN  [n10_Nessa] [bot] start (1464,1748,0) exits: open=6 terrain=1 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 380 item(s), 3 mobile(s))
[16:42:22.519] WARN  [n10_Nessa] [bot] no path to (1468,1769) avoiding 0 block(s); stopping (search 1270620.5us)
[16:42:22.519] WARN  [n10_Nessa] [bot] start (1468,1754,-2) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 380 item(s), 2 mobile(s))
[16:42:27.776] WARN  [n10_Nessa] [bot] no path to (1471,1770) avoiding 0 block(s); stopping (search 1761300.1us)
[16:42:27.776] WARN  [n10_Nessa] [bot] start (1469,1761,-2) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 380 item(s), 2 mobile(s))
[16:42:30.802] WARN  [n10_Nessa] [bot] no path to (1471,1770) avoiding 0 block(s); stopping (search 1719756.8us)
[16:42:30.803] WARN  [n10_Nessa] [bot] start (1469,1761,-2) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 380 item(s), 2 mobile(s))
[16:44:20.169] WARN  [n10_Nessa] [0x21] move REJECTED seq=11; server says (1426,1721,20) facing=3
[16:44:20.877] WARN  [n10_Nessa] [0x21] move REJECTED seq=0; server says (1426,1721,20) facing=3
[16:46:20.487] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:46:48.455] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:47:30.562] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:47:43.409] WARN  [n10_Nessa] [0x21] move REJECTED seq=39; server says (1500,1702,20) facing=1
[16:47:44.146] WARN  [n10_Nessa] [0x21] move REJECTED seq=0; server says (1500,1702,20) facing=1
[16:47:46.828] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:48:51.800] WARN  [n10_Nessa] [0x21] move REJECTED seq=161; server says (1426,1716,20) facing=2
[16:48:55.445] WARN  [n10_Nessa] [bot] no path to (1427,1716) avoiding 0 block(s); stopping (search 3607115.5us)
[16:48:55.445] WARN  [n10_Nessa] [bot] start (1426,1716,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 504 item(s), 6 mobile(s))
[16:49:11.623] WARN  [n10_Nessa] [travel] route exhausted at (1467,1749,0); trying to reach (1464,1736,0) to get somewhere routable (escape 1/3)
[16:49:15.829] WARN  [n10_Nessa] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1748,0) to get somewhere routable (escape 2/3)
[16:49:18.985] WARN  [n10_Nessa] [travel] route exhausted at (1464,1748,0); trying to reach (1448,1734,0) to get somewhere routable (escape 3/3)
[16:49:23.425] WARN  [n10_Nessa] [travel] route exhausted at (1448,1734,0); trying to reach (1432,1720,20) to get somewhere routable (escape 1/3)
[16:49:55.769] WARN  [n10_Nessa] [travel] route exhausted at (1432,1720,20); trying to reach (1416,1704,8) to get somewhere routable (escape 2/3)
[16:50:14.689] WARN  [n10_Nessa] [travel] route exhausted at (1416,1704,8); trying to reach (1402,1706,20) to get somewhere routable (escape 3/3)
[16:51:06.130] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:51:41.191] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:51:57.054] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:52:02.149] WARN  [n10_Nessa] [0x21] move REJECTED seq=8; server says (1475,1670,0) facing=5
[16:52:02.150] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:52:31.487] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:53:06.930] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:53:09.945] WARN  [n10_Nessa] [bot] no path to (1498,1720) avoiding 0 block(s); stopping (search 1762698.1us)
[16:53:09.945] WARN  [n10_Nessa] [bot] start (1494,1724,3) exits: open=6 terrain=1 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 627 item(s), 8 mobile(s))
[16:54:59.683] WARN  [n10_Nessa] [travel] route exhausted at (1470,1765,-2); trying to reach (1480,1752,0) to get somewhere routable (escape 1/3)
[16:55:04.928] WARN  [n10_Nessa] [travel] route exhausted at (1480,1752,0); trying to reach (1488,1746,-2) to get somewhere routable (escape 2/3)
[16:55:08.007] WARN  [n10_Nessa] [travel] route exhausted at (1488,1746,-2); trying to reach (1480,1736,0) to get somewhere routable (escape 3/3)
[16:55:15.796] WARN  [n10_Nessa] [travel] route exhausted at (1480,1736,0); trying to reach (1488,1746,-2) to get somewhere routable (escape 1/3)
[16:55:22.888] WARN  [n10_Nessa] [travel] route exhausted at (1488,1746,-2); trying to reach (1480,1752,0) to get somewhere routable (escape 2/3)
[16:55:25.647] WARN  [n10_Nessa] [travel] route exhausted at (1480,1752,0); trying to reach (1464,1736,0) to get somewhere routable (escape 3/3)
[16:55:33.721] WARN  [n10_Nessa] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1748,0) to get somewhere routable (escape 1/3)
[16:55:37.018] WARN  [n10_Nessa] [travel] route exhausted at (1464,1748,0); trying to reach (1464,1736,0) to get somewhere routable (escape 2/3)
[16:55:40.345] WARN  [n10_Nessa] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1720,0) to get somewhere routable (escape 3/3)
[16:56:05.559] WARN  [n10_Nessa] [0x21] move REJECTED seq=50; server says (1494,1724,3) facing=1
[16:56:05.559] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:59:45.207] WARN  [n10_Nessa] [travel] route exhausted at (1470,1765,-2); trying to reach (1480,1752,0) to get somewhere routable (escape 1/3)
[16:59:50.582] WARN  [n10_Nessa] [travel] route exhausted at (1480,1752,0); trying to reach (1488,1746,-2) to get somewhere routable (escape 2/3)
[16:59:53.012] WARN  [n10_Nessa] [travel] route exhausted at (1488,1746,-2); trying to reach (1480,1736,0) to get somewhere routable (escape 3/3)
[17:00:00.416] WARN  [n10_Nessa] [travel] route exhausted at (1480,1736,0); trying to reach (1488,1746,-2) to get somewhere routable (escape 1/3)
[17:00:07.475] WARN  [n10_Nessa] [travel] route exhausted at (1488,1746,-2); trying to reach (1480,1752,0) to get somewhere routable (escape 2/3)
[17:00:10.317] WARN  [n10_Nessa] [travel] route exhausted at (1480,1752,0); trying to reach (1464,1736,0) to get somewhere routable (escape 3/3)
[17:00:18.440] WARN  [n10_Nessa] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1748,0) to get somewhere routable (escape 1/3)
[17:00:21.700] WARN  [n10_Nessa] [travel] route exhausted at (1464,1748,0); trying to reach (1464,1736,0) to get somewhere routable (escape 2/3)
[17:00:25.049] WARN  [n10_Nessa] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1720,0) to get somewhere routable (escape 3/3)
[17:00:49.478] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[17:02:34.085] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
