map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[12:18:58.939] WARN  [f6_Ysolde] [0x21] move REJECTED seq=46; server says (1641,1671,15) facing=5
[12:19:00.110] WARN  [f6_Ysolde] [bot] no path to (1640,1672) avoiding 0 block(s); stopping (search 1111366.9us)
[12:19:00.110] WARN  [f6_Ysolde] [bot] start (1641,1671,15) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 86 item(s), 1 mobile(s))
[12:19:21.641] WARN  [f6_Ysolde] [bot] 0x20 resync; aborting path
[12:19:25.340] WARN  [f6_Ysolde] [bot] no path to (1606,1712) avoiding 0 block(s); stopping (search 1099033.6us)
[12:19:25.340] WARN  [f6_Ysolde] [bot] start (1602,1717,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:19:27.719] WARN  [f6_Ysolde] [bot] no path to (1606,1712) avoiding 0 block(s); stopping (search 1069106.9us)
[12:19:27.719] WARN  [f6_Ysolde] [bot] start (1602,1717,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:19:32.787] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1079796.1us)
[12:19:32.787] WARN  [f6_Ysolde] [bot] start (1606,1710,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:19:35.180] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1086307.8us)
[12:19:35.180] WARN  [f6_Ysolde] [bot] start (1606,1710,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:19:37.594] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1050989.2us)
[12:19:37.594] WARN  [f6_Ysolde] [bot] start (1606,1710,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:19:41.673] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1180300.0us)
[12:19:41.673] WARN  [f6_Ysolde] [bot] start (1606,1710,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:19:44.196] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1209209.7us)
[12:19:44.196] WARN  [f6_Ysolde] [bot] start (1606,1710,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:19:46.587] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1081271.1us)
