map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[13:06:20.529] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:21.860] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:23.202] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:26.016] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:27.356] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:28.659] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:32.962] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:34.285] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:35.657] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:41.542] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:42.865] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:44.250] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:44.312] WARN  [f6_Tarath] [travel] route exhausted at (1453,1615,20); trying to reach (1448,1624,20) to get somewhere routable (escape 1/3)
[13:06:53.456] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:54.801] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:56.097] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:06:58.971] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:00.326] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:01.666] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:06.071] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:07.429] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:08.786] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:14.706] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:16.014] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:17.374] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:17.435] WARN  [f6_Tarath] [travel] route exhausted at (1448,1624,20); trying to reach (1448,1640,20) to get somewhere routable (escape 2/3)
[13:07:18.478] WARN  [f6_Tarath] [bot] no path to (1448,1640) avoiding 0 block(s); stopping (search 1021645.5us)
[13:07:18.478] WARN  [f6_Tarath] [bot] start (1448,1624,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 79 item(s), 3 mobile(s))
[13:07:18.540] WARN  [f6_Tarath] [travel] route exhausted at (1448,1624,20); trying to reach (1448,1608,20) to get somewhere routable (escape 3/3)
[13:07:31.250] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:32.601] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:33.918] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:36.781] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:38.133] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:39.488] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:43.842] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:45.117] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:46.486] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:52.312] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:53.620] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[13:07:54.997] WARN  [f6_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
