map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[13:05:57.892] WARN  [f6_Ysolde] [ACTION_RESULT] cast_spell server_failure (15ms) The spell is not in your spellbook.
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[13:06:38.712] WARN  [f6_Ysolde] [bot] 0x20 resync; aborting path
[13:06:42.696] WARN  [f6_Ysolde] [bot] no path to (1452,1615) avoiding 0 block(s); stopping (search 1387458.0us)
[13:06:42.696] WARN  [f6_Ysolde] [bot] start (1454,1614,20) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 302 item(s), 5 mobile(s))
[13:06:46.955] WARN  [f6_Ysolde] [bot] no path to (1452,1615) avoiding 0 block(s); stopping (search 1408036.4us)
[13:06:46.955] WARN  [f6_Ysolde] [bot] start (1454,1614,20) exits: open=5 terrain=1 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 302 item(s), 5 mobile(s))
[13:07:01.852] WARN  [f6_Ysolde] [bot] no path to (1454,1616) avoiding 0 block(s); stopping (search 1216520.4us)
[13:07:01.852] WARN  [f6_Ysolde] [bot] start (1452,1615,20) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 303 item(s), 4 mobile(s))
[13:07:05.947] WARN  [f6_Ysolde] [bot] no path to (1454,1616) avoiding 0 block(s); stopping (search 1232331.6us)
[13:07:05.947] WARN  [f6_Ysolde] [bot] start (1452,1615,20) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 303 item(s), 4 mobile(s))
[13:07:11.610] WARN  [f6_Ysolde] [bot] no path to (1454,1616) avoiding 0 block(s); stopping (search 1309878.3us)
[13:07:11.610] WARN  [f6_Ysolde] [bot] start (1452,1615,20) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 303 item(s), 4 mobile(s))
[13:07:27.151] WARN  [f6_Ysolde] [bot] no path to (1453,1614) avoiding 0 block(s); stopping (search 576.8us)
[13:07:27.151] WARN  [f6_Ysolde] [bot] start (1454,1616,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 303 item(s), 3 mobile(s))
[13:07:32.417] WARN  [f6_Ysolde] [bot] no path to (1454,1612) avoiding 0 block(s); stopping (search 1313343.1us)
[13:07:32.417] WARN  [f6_Ysolde] [bot] start (1453,1614,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 303 item(s), 4 mobile(s))
[13:07:37.642] WARN  [f6_Ysolde] [bot] no path to (1453,1614) avoiding 0 block(s); stopping (search 1164978.0us)
[13:07:37.642] WARN  [f6_Ysolde] [bot] start (1454,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 309 item(s), 4 mobile(s))
[13:07:55.553] WARN  [f6_Ysolde] [bot] no path to (1453,1613) avoiding 0 block(s); stopping (search 1154823.7us)
[13:07:55.553] WARN  [f6_Ysolde] [bot] start (1453,1615,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 309 item(s), 2 mobile(s))
[13:07:59.544] WARN  [f6_Ysolde] [bot] no path to (1453,1613) avoiding 0 block(s); stopping (search 1149589.3us)
[13:07:59.544] WARN  [f6_Ysolde] [bot] start (1453,1615,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 309 item(s), 3 mobile(s))
[13:08:05.058] WARN  [f6_Ysolde] [bot] no path to (1453,1613) avoiding 0 block(s); stopping (search 1169421.9us)
[13:08:05.058] WARN  [f6_Ysolde] [bot] start (1453,1615,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 309 item(s), 5 mobile(s))
[13:08:15.824] WARN  [f6_Ysolde] [bot] no path to (1453,1615) avoiding 0 block(s); stopping (search 1304252.6us)
[13:08:15.824] WARN  [f6_Ysolde] [bot] start (1453,1613,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 309 item(s), 3 mobile(s))
[13:08:23.572] WARN  [f6_Ysolde] [bot] no path to (1454,1617) avoiding 0 block(s); stopping (search 1157767.9us)
[13:08:23.572] WARN  [f6_Ysolde] [bot] start (1453,1615,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 309 item(s), 3 mobile(s))
[13:08:28.876] WARN  [f6_Ysolde] [bot] no path to (1452,1618) avoiding 0 block(s); stopping (search 1188740.1us)
