map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[13:16:53.066] WARN  [f6_Kaelen] [0x21] move REJECTED seq=32; server says (1423,1599,20) facing=7
[13:16:53.803] WARN  [f6_Kaelen] [0x21] move REJECTED seq=0; server says (1423,1599,20) facing=7
[13:16:55.001] WARN  [f6_Kaelen] [bot] no path to (1416,1592) avoiding 1 block(s); stopping (search 1187821.5us)
[13:16:55.002] WARN  [f6_Kaelen] [bot] start (1423,1599,20) exits: open=6 terrain=0 mobile=0 dynamic=1 door=0 blacklist=1 (overlay saw 289 item(s), 7 mobile(s))
[13:16:57.481] WARN  [f6_Kaelen] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 1184621.6us)
[13:16:57.481] WARN  [f6_Kaelen] [bot] start (1423,1599,20) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 289 item(s), 7 mobile(s))
[13:17:00.044] WARN  [f6_Kaelen] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 1283242.2us)
[13:17:00.044] WARN  [f6_Kaelen] [bot] start (1423,1599,20) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 289 item(s), 7 mobile(s))
[13:17:21.491] WARN  [f6_Kaelen] [0x21] move REJECTED seq=27; server says (1427,1540,30) facing=7
[13:17:22.226] WARN  [f6_Kaelen] [0x21] move REJECTED seq=0; server says (1427,1540,30) facing=7
[13:22:46.548] WARN  [f6_Kaelen] [bot] 0x20 resync; aborting path
[13:22:47.850] WARN  [f6_Kaelen] [bot] 0x20 resync; aborting path
[13:22:49.160] WARN  [f6_Kaelen] [bot] 0x20 resync; aborting path
