map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[13:14:16.229] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1130763.4us)
[13:14:16.230] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:18.707] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1141412.8us)
[13:14:18.707] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:21.176] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1152744.3us)
[13:14:21.176] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:25.150] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1123037.6us)
[13:14:25.150] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:27.742] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1264025.1us)
[13:14:27.742] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:33.205] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1139769.1us)
[13:14:33.205] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:35.666] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1138018.4us)
[13:14:35.666] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:38.148] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1136206.1us)
[13:14:38.148] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:45.201] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1196561.9us)
[13:14:45.201] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:47.732] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1151007.8us)
[13:14:47.732] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:50.233] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1227289.1us)
[13:14:50.233] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:54.570] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1614741.2us)
[13:14:54.570] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:56.994] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1135913.3us)
[13:14:56.994] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:14:59.582] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1239809.5us)
[13:14:59.582] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:15:03.578] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1130824.1us)
[13:15:03.578] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:15:05.990] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1103762.6us)
[13:15:05.990] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:15:08.475] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1136946.7us)
[13:15:08.475] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 5 mobile(s))
[13:15:14.121] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1251458.0us)
[13:15:14.121] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 6 mobile(s))
[13:15:16.515] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1099449.1us)
