map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[14:17:03.179] WARN  [f6_Kaelen] [0x21] move REJECTED seq=32; server says (1423,1599,20) facing=7
[14:17:03.927] WARN  [f6_Kaelen] [0x21] move REJECTED seq=0; server says (1423,1599,20) facing=7
[14:17:05.238] WARN  [f6_Kaelen] [bot] no path to (1416,1592) avoiding 1 block(s); stopping (search 1308618.3us)
[14:17:05.238] WARN  [f6_Kaelen] [bot] start (1423,1599,20) exits: open=6 terrain=0 mobile=0 dynamic=1 door=0 blacklist=1 (overlay saw 289 item(s), 6 mobile(s))
[14:17:07.721] WARN  [f6_Kaelen] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 1166137.5us)
[14:17:07.722] WARN  [f6_Kaelen] [bot] start (1423,1599,20) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 289 item(s), 6 mobile(s))
[14:17:29.505] WARN  [f6_Kaelen] [0x21] move REJECTED seq=27; server says (1427,1540,30) facing=7
[14:17:30.257] WARN  [f6_Kaelen] [0x21] move REJECTED seq=0; server says (1427,1540,30) facing=7
[14:17:53.108] WARN  [f6_Kaelen] [bot] no path to (1384,1483) avoiding 0 block(s); stopping (search 1156495.6us)
[14:17:53.108] WARN  [f6_Kaelen] [bot] start (1384,1492,10) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 416 item(s), 4 mobile(s))
[14:17:54.391] WARN  [f6_Kaelen] [bot] no path to (1384,1484) avoiding 0 block(s); stopping (search 1168121.6us)
[14:17:54.391] WARN  [f6_Kaelen] [bot] start (1384,1492,10) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 416 item(s), 4 mobile(s))
[14:17:56.832] WARN  [f6_Kaelen] [bot] no path to (1384,1490) avoiding 0 block(s); stopping (search 1169356.8us)
[14:17:56.832] WARN  [f6_Kaelen] [bot] start (1384,1492,10) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 416 item(s), 5 mobile(s))
[14:19:28.279] WARN  [f6_Kaelen] [bot] 0x20 resync; aborting path
[14:19:29.592] WARN  [f6_Kaelen] [bot] 0x20 resync; aborting path
[14:19:30.899] WARN  [f6_Kaelen] [bot] 0x20 resync; aborting path
