map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[14:16:21.733] WARN  [f6_Ysolde] [bot] 0x20 resync; aborting path
[14:16:25.368] WARN  [f6_Ysolde] [bot] no path to (1485,1545) avoiding 0 block(s); stopping (search 1041811.2us)
[14:16:25.368] WARN  [f6_Ysolde] [bot] start (1486,1547,35) exits: open=4 terrain=2 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 106 item(s), 4 mobile(s))
[14:16:28.254] WARN  [f6_Ysolde] [bot] goal (1485,1545) is not walkable; skipping A* and stopping
[14:16:30.741] WARN  [f6_Ysolde] [bot] no path to (1484,1548) avoiding 0 block(s); stopping (search 1028235.4us)
[14:16:30.741] WARN  [f6_Ysolde] [bot] start (1486,1547,35) exits: open=4 terrain=2 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 106 item(s), 4 mobile(s))
[14:16:33.557] WARN  [f6_Ysolde] [bot] goal (1484,1548) is not walkable; skipping A* and stopping
[14:16:37.437] WARN  [f6_Ysolde] [action] vendor_buy superseded by vendor_buy
[14:16:37.437] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy invalid_state (2523ms) superseded
[14:16:39.978] WARN  [f6_Ysolde] [action] vendor_buy superseded by vendor_buy
[14:16:39.978] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy invalid_state (2541ms) superseded
[14:16:43.630] WARN  [f6_Ysolde] [bot] no path to (1489,1547) avoiding 0 block(s); stopping (search 1046513.6us)
[14:16:43.630] WARN  [f6_Ysolde] [bot] start (1486,1547,35) exits: open=4 terrain=2 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 106 item(s), 4 mobile(s))
[14:16:46.498] WARN  [f6_Ysolde] [bot] goal (1489,1547) is not walkable; skipping A* and stopping
[14:16:48.035] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[14:16:48.493] WARN  [f6_Ysolde] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 1022238.8us)
[14:16:48.493] WARN  [f6_Ysolde] [bot] start (1486,1547,35) exits: open=4 terrain=2 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 106 item(s), 4 mobile(s))
[14:16:52.272] WARN  [f6_Ysolde] [bot] no path to (1484,1547) avoiding 0 block(s); stopping (search 1037128.4us)
[14:16:52.272] WARN  [f6_Ysolde] [bot] start (1486,1547,35) exits: open=4 terrain=2 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 106 item(s), 4 mobile(s))
[14:16:55.186] WARN  [f6_Ysolde] [bot] goal (1484,1547) is not walkable; skipping A* and stopping
[14:16:55.248] WARN  [f6_Ysolde] [travel] reached (1486,1547,35) but the target is on another floor; not arrived
