map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[14:48:31.350] WARN  [f6_Brannoc] [0x21] move REJECTED seq=18; server says (1942,2794,0) facing=3
[14:48:31.351] WARN  [f6_Brannoc] [bot] 0x20 resync; aborting path
[14:48:49.383] WARN  [f6_Brannoc] [0x21] move REJECTED seq=30; server says (1947,2847,8) facing=3
[14:48:50.117] WARN  [f6_Brannoc] [0x21] move REJECTED seq=0; server says (1947,2847,8) facing=3
[14:49:07.384] WARN  [f6_Brannoc] [0x21] move REJECTED seq=26; server says (1999,2855,15) facing=3
[14:49:08.088] WARN  [f6_Brannoc] [0x21] move REJECTED seq=0; server says (1999,2855,15) facing=3
[14:52:46.119] WARN  [f6_Brannoc] [0x21] move REJECTED seq=40; server says (2800,952,0) facing=3
[14:52:46.874] WARN  [f6_Brannoc] [0x21] move REJECTED seq=0; server says (2800,952,0) facing=3
[14:53:01.810] WARN  [f6_Brannoc] [0x21] move REJECTED seq=60; server says (2827,927,0) facing=1
[14:53:02.561] WARN  [f6_Brannoc] [0x21] move REJECTED seq=0; server says (2827,927,0) facing=1
[14:53:43.092] WARN  [f6_Brannoc] [0x21] move REJECTED seq=57; server says (2858,816,-1) facing=2
[14:53:44.448] WARN  [f6_Brannoc] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 1325364.2us)
[14:53:44.448] WARN  [f6_Brannoc] [bot] start (2858,816,-1) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 589 item(s), 10 mobile(s))
[14:53:47.047] WARN  [f6_Brannoc] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 1254497.2us)
[14:53:47.047] WARN  [f6_Brannoc] [bot] start (2858,816,-1) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 589 item(s), 10 mobile(s))
[14:53:49.658] WARN  [f6_Brannoc] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 1251798.5us)
[14:53:49.658] WARN  [f6_Brannoc] [bot] start (2858,816,-1) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 589 item(s), 10 mobile(s))
[14:54:11.363] WARN  [f6_Brannoc] [bot] no path to (2899,790) avoiding 0 block(s); stopping (search 1580855.1us)
[14:54:11.363] WARN  [f6_Brannoc] [bot] start (2890,800,3) exits: open=4 terrain=4 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 646 item(s), 4 mobile(s))
[14:54:14.200] WARN  [f6_Brannoc] [bot] no path to (2899,790) avoiding 0 block(s); stopping (search 1498608.8us)
[14:54:14.200] WARN  [f6_Brannoc] [bot] start (2890,800,3) exits: open=4 terrain=4 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 646 item(s), 4 mobile(s))
[14:54:16.894] WARN  [f6_Brannoc] [bot] no path to (2899,790) avoiding 0 block(s); stopping (search 1364166.4us)
[14:54:16.894] WARN  [f6_Brannoc] [bot] start (2890,800,3) exits: open=4 terrain=4 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 646 item(s), 3 mobile(s))
[14:54:22.623] WARN  [f6_Brannoc] [bot] no path to (2899,790) avoiding 0 block(s); stopping (search 1373365.6us)
[14:54:22.623] WARN  [f6_Brannoc] [bot] start (2890,800,3) exits: open=4 terrain=4 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 646 item(s), 3 mobile(s))
[14:54:25.308] WARN  [f6_Brannoc] [bot] no path to (2899,790) avoiding 0 block(s); stopping (search 1380604.3us)
[14:54:25.308] WARN  [f6_Brannoc] [bot] start (2890,800,3) exits: open=4 terrain=4 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 646 item(s), 3 mobile(s))
[14:55:07.032] WARN  [f6_Brannoc] [0x21] move REJECTED seq=105; server says (2857,816,0) facing=2
[14:55:08.423] WARN  [f6_Brannoc] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 1361107.4us)
[14:55:08.423] WARN  [f6_Brannoc] [bot] start (2857,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 692 item(s), 11 mobile(s))
[14:55:11.088] WARN  [f6_Brannoc] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 1305614.7us)
[14:55:11.088] WARN  [f6_Brannoc] [bot] start (2857,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 692 item(s), 11 mobile(s))
[15:05:51.256] WARN  [f6_Brannoc] [bot] THREAT (HP 56 -> 51): halting travel (TODO engage/flee/recall)
[15:05:58.455] WARN  [f6_Brannoc] [bot] 0x20 resync; aborting path
[15:06:26.938] WARN  [f6_Brannoc] [0x21] move REJECTED seq=10; server says (2730,734,0) facing=4
[15:09:54.029] WARN  [f6_Brannoc] [0x21] move REJECTED seq=22; server says (2888,673,0) facing=3
[15:09:54.043] WARN  [f6_Brannoc] [bot] 0x20 resync; aborting path
[15:10:50.679] WARN  [f6_Brannoc] [0x21] move REJECTED seq=79; server says (2858,816,-1) facing=2
[15:10:52.763] WARN  [f6_Brannoc] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 2040823.6us)
[15:10:52.763] WARN  [f6_Brannoc] [bot] start (2858,816,-1) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1700 item(s), 11 mobile(s))
[15:10:56.656] WARN  [f6_Brannoc] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 2552111.4us)
[15:10:56.656] WARN  [f6_Brannoc] [bot] start (2858,816,-1) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1700 item(s), 11 mobile(s))
[15:13:53.128] WARN  [f6_Brannoc] [0x21] move REJECTED seq=44; server says (3623,2139,86) facing=1
[15:13:53.875] WARN  [f6_Brannoc] [0x21] move REJECTED seq=0; server says (3623,2139,86) facing=1
