map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[14:40:36.007] WARN  [v1_Corwyn] [bot] 0x20 resync; aborting path
[14:40:47.411] WARN  [v1_Corwyn] [travel] route exhausted at (2469,556,5); trying to reach (2472,568,5) to get somewhere routable (escape 1/3)
[14:40:52.646] WARN  [v1_Corwyn] [travel] route exhausted at (2472,568,5); trying to reach (2456,552,0) to get somewhere routable (escape 2/3)
[14:41:01.702] WARN  [v1_Corwyn] [travel] route exhausted at (2456,552,0); trying to reach (2456,566,0) to get somewhere routable (escape 3/3)
[14:41:18.615] WARN  [v1_Corwyn] [travel] route exhausted at (2456,566,0); trying to reach (2456,552,0) to get somewhere routable (escape 1/3)
[14:41:25.518] WARN  [v1_Corwyn] [travel] route exhausted at (2456,552,0); trying to reach (2456,566,0) to get somewhere routable (escape 2/3)
[14:41:33.181] WARN  [v1_Corwyn] [travel] route exhausted at (2456,566,0); trying to reach (2440,550,0) to get somewhere routable (escape 3/3)
[14:41:51.425] WARN  [v1_Corwyn] [travel] route exhausted at (2440,550,0); trying to reach (2440,536,0) to get somewhere routable (escape 1/3)
[14:41:55.533] WARN  [v1_Corwyn] [travel] route exhausted at (2440,536,0); trying to reach (2440,550,0) to get somewhere routable (escape 2/3)
[14:42:00.069] WARN  [v1_Corwyn] [travel] route exhausted at (2440,550,0); trying to reach (2434,564,0) to get somewhere routable (escape 3/3)
[14:42:33.865] WARN  [v1_Corwyn] [0x21] move REJECTED seq=104; server says (2467,567,5) facing=6
[14:42:34.910] WARN  [v1_Corwyn] [bot] no path to (2466,567) avoiding 0 block(s); stopping (search 1004699.8us)
[14:42:34.910] WARN  [v1_Corwyn] [bot] start (2467,567,5) exits: open=2 terrain=5 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 146 item(s), 3 mobile(s))
[14:43:16.384] WARN  [v1_Corwyn] [bot] 0x20 resync; aborting path
[14:43:23.760] WARN  [v1_Corwyn] [bot] no path to (2523,547) avoiding 0 block(s); stopping (search 1148866.1us)
[14:43:23.760] WARN  [v1_Corwyn] [bot] start (2529,551,0) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 201 item(s), 2 mobile(s))
[14:43:26.115] WARN  [v1_Corwyn] [bot] no path to (2523,547) avoiding 0 block(s); stopping (search 1048881.5us)
[14:43:26.115] WARN  [v1_Corwyn] [bot] start (2529,551,0) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 201 item(s), 2 mobile(s))
[14:43:30.009] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 997913.9us)
[14:43:30.009] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 3 mobile(s))
[14:43:32.431] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 1067070.5us)
