start: Corwyn is a miner_smith and lives in Minoc -> starting city index 1
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[22:49:59.796] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[22:50:03.348] WARN  [v_Corwyn] [bot] no path to (2474,561) avoiding 0 block(s); stopping (search 937197.5us)
[22:50:03.348] WARN  [v_Corwyn] [bot] start (2473,565,5) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 62 item(s), 2 mobile(s))
[22:50:05.598] WARN  [v_Corwyn] [bot] no path to (2474,561) avoiding 0 block(s); stopping (search 937870.3us)
[22:50:05.598] WARN  [v_Corwyn] [bot] start (2473,565,5) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 62 item(s), 2 mobile(s))
[22:50:07.861] WARN  [v_Corwyn] [bot] no path to (2474,561) avoiding 0 block(s); stopping (search 940062.8us)
[22:50:07.861] WARN  [v_Corwyn] [bot] start (2473,565,5) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 62 item(s), 2 mobile(s))
[22:50:22.648] WARN  [v_Corwyn] [ACTION_RESULT] vendor_sell timeout (no server confirmation)
[22:51:22.566] WARN  [v_Corwyn] [0x21] move REJECTED seq=51; server says (2555,501,1) facing=1
[22:51:23.324] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2555,501,1) facing=1
[22:51:26.473] WARN  [v_Corwyn] [0x21] move REJECTED seq=3; server says (2557,499,0) facing=5
[22:51:27.227] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2557,499,0) facing=5
[22:51:28.542] WARN  [v_Corwyn] [0x21] move REJECTED seq=4; server says (2555,499,0) facing=4
[22:51:29.292] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2555,499,0) facing=4
[22:51:59.482] WARN  [v_Corwyn] [0x21] move REJECTED seq=8; server says (2514,482,15) facing=3
[22:51:59.483] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[22:57:04.607] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
