start: Ilyandra is a mage and lives in Nujel'm -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:47:42.944] WARN  [v_Ilyandra] [bot] 0x20 resync; aborting path
[00:48:37.884] WARN  [v_Ilyandra] [ACTION_RESULT] cast_spell server_failure (14ms) The spell is not in your spellbook.
[00:49:09.992] WARN  [v_Ilyandra] [bot] 0x20 resync; aborting path
[00:50:23.705] WARN  [v_Ilyandra] [bot] no path to (1485,1547) avoiding 0 block(s); stopping (search 1478388.8us)
[00:50:23.705] WARN  [v_Ilyandra] [bot] start (1485,1550,30) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 265 item(s), 6 mobile(s))
[00:50:23.767] WARN  [v_Ilyandra] [travel] reached (1485,1550,30) but the target is on another floor; not arrived
[00:50:33.949] WARN  [v_Ilyandra] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:50:43.946] WARN  [v_Ilyandra] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[00:50:43.946] WARN  [v_Ilyandra] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[00:50:43.947] WARN  [v_Ilyandra] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[00:51:18.118] WARN  [v_Ilyandra] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[00:51:18.118] WARN  [v_Ilyandra] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[00:51:18.119] WARN  [v_Ilyandra] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[00:51:27.122] WARN  [v_Ilyandra] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[00:51:27.123] WARN  [v_Ilyandra] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[00:51:27.123] WARN  [v_Ilyandra] [ACTION_RESULT] vendor_buy rejected (1ms) Revolution vendor policy refuses this NPC purchase
[00:51:36.142] WARN  [v_Ilyandra] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[00:51:36.142] WARN  [v_Ilyandra] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
