start: Corwyn is a miner_smith and lives in Vesper -> starting city index 8
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[18:02:50.941] WARN  [v_Corwyn] [0x21] move REJECTED seq=71; server says (2801,953,2) facing=1
[18:02:51.688] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2801,953,2) facing=1
[18:02:52.788] WARN  [v_Corwyn] [bot] no path to (2802,952) avoiding 1 block(s); stopping (search 1088643.4us)
[18:02:52.788] WARN  [v_Corwyn] [bot] start (2801,953,2) exits: open=4 terrain=2 mobile=0 dynamic=1 door=0 blacklist=1 (overlay saw 67 item(s), 1 mobile(s))
[18:03:06.719] WARN  [v_Corwyn] [0x21] move REJECTED seq=57; server says (2827,927,0) facing=1
[18:03:18.160] WARN  [v_Corwyn] [0x21] move REJECTED seq=35; server says (2828,890,0) facing=7
[18:03:18.904] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2828,890,0) facing=7
[18:03:51.894] WARN  [v_Corwyn] [0x21] move REJECTED seq=55; server says (2856,816,0) facing=2
[18:03:53.062] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 1136856.3us)
[18:03:53.062] WARN  [v_Corwyn] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 262 item(s), 13 mobile(s))
[18:03:55.534] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 1173055.9us)
[18:03:55.534] WARN  [v_Corwyn] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 262 item(s), 13 mobile(s))
[18:04:22.776] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[18:04:26.542] WARN  [v_Corwyn] [bot] no path to (2897,790) avoiding 0 block(s); stopping (search 1158006.8us)
