start: Corwyn is a miner_smith and lives in Vesper -> starting city index 8
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[19:15:14.980] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:15:21.982] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:15:29.053] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:15:36.066] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:15:43.137] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:15:50.124] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[19:15:56.246] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:16:01.776] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:16:07.306] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:16:12.866] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:16:18.444] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:16:23.977] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:16:25.210] WARN  [v_Corwyn] [travel] route exhausted at (2516,513,0); trying to reach (2520,502,15) to get somewhere routable (escape 1/3)
[19:16:29.521] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:16:29.521] WARN  [v_Corwyn] [travel] route exhausted at (2500,516,0); trying to reach (2488,504,15) to get somewhere routable (escape 2/3)
[19:16:35.102] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:16:35.102] WARN  [v_Corwyn] [travel] route exhausted at (2513,513,0); trying to reach (2504,520,0) to get somewhere routable (escape 3/3)
[19:16:48.694] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:16:54.283] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
