start: Corwyn is a miner_smith and lives in Vesper -> starting city index 8
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[19:00:37.564] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:00:44.557] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:00:51.618] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:00:58.592] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:01:05.589] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:01:12.688] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:01:19.719] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:01:26.668] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:01:33.719] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:01:35.831] WARN  [v_Corwyn] [bot] no path to (2499,550) avoiding 0 block(s); stopping (search 946174.1us)
[19:01:35.831] WARN  [v_Corwyn] [bot] start (2503,552,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 56 item(s), 3 mobile(s))
[19:01:38.343] WARN  [v_Corwyn] [bot] no path to (2499,550) avoiding 0 block(s); stopping (search 1177246.5us)
[19:01:38.343] WARN  [v_Corwyn] [bot] start (2503,552,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 56 item(s), 3 mobile(s))
[19:01:40.868] WARN  [v_Corwyn] [bot] no path to (2499,550) avoiding 0 block(s); stopping (search 1180630.8us)
[19:01:40.868] WARN  [v_Corwyn] [bot] start (2503,552,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 56 item(s), 3 mobile(s))
[19:01:44.916] WARN  [v_Corwyn] [bot] no path to (2499,550) avoiding 0 block(s); stopping (search 1188558.8us)
[19:01:44.916] WARN  [v_Corwyn] [bot] start (2503,552,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 56 item(s), 3 mobile(s))
[19:01:47.496] WARN  [v_Corwyn] [bot] no path to (2499,550) avoiding 0 block(s); stopping (search 1253415.2us)
[19:01:47.496] WARN  [v_Corwyn] [bot] start (2503,552,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 56 item(s), 3 mobile(s))
[19:02:02.851] WARN  [v_Corwyn] [travel] route exhausted at (2502,549,0); trying to reach (2504,536,0) to get somewhere routable (escape 1/3)
