start: Corwyn is a miner_smith and lives in Vesper -> starting city index 8
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[19:07:28.483] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:07:37.057] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:07:44.032] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:07:51.042] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:07:58.039] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:08:05.107] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:08:12.118] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:08:13.163] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (1ms) There is no such skill. Please tell support you saw this message.
[19:08:19.244] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (1ms) There is no such skill. Please tell support you saw this message.
[19:08:25.365] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
[19:08:31.426] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:08:37.495] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:08:43.609] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:08:49.728] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (16ms) There is no such skill. Please tell support you saw this message.
[19:08:55.784] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:09:01.875] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (1ms) There is no such skill. Please tell support you saw this message.
[19:09:07.961] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:09:14.082] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:09:20.157] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:09:26.243] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:09:32.349] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (1ms) There is no such skill. Please tell support you saw this message.
[19:09:38.469] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:09:44.583] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:09:50.718] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
[19:09:56.773] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (1ms) There is no such skill. Please tell support you saw this message.
[19:10:02.889] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
[19:10:08.975] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:10:19.152] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:10:26.201] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:10:33.253] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:10:34.388] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
[19:10:40.477] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:10:46.583] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:10:52.693] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:10:58.816] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:11:04.894] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:11:10.985] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:11:17.104] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:11:23.241] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (16ms) There is no such skill. Please tell support you saw this message.
[19:11:29.290] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:11:35.393] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (1ms) There is no such skill. Please tell support you saw this message.
[19:11:41.512] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
[19:11:47.565] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:11:53.653] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:11:59.764] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[19:12:05.839] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (1ms) There is no such skill. Please tell support you saw this message.
[19:12:11.973] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
[19:12:18.038] WARN  [v_Corwyn] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
