start: Tarath is a lumberjack_swordsman and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[20:29:04.486] WARN  [pair_Tarath] [0x21] move REJECTED seq=24; server says (1439,1693,0) facing=3
[20:29:04.487] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:29:42.124] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:29:46.680] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1400795.8us)
[20:29:46.681] WARN  [pair_Tarath] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 324 item(s), 5 mobile(s))
[20:29:49.326] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1341661.2us)
[20:29:49.326] WARN  [pair_Tarath] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 324 item(s), 4 mobile(s))
[20:29:51.943] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1366093.3us)
[20:29:51.943] WARN  [pair_Tarath] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 324 item(s), 5 mobile(s))
[20:29:56.211] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1418525.7us)
[20:29:56.211] WARN  [pair_Tarath] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 324 item(s), 5 mobile(s))
[20:29:58.848] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1303229.3us)
[20:29:58.848] WARN  [pair_Tarath] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 324 item(s), 4 mobile(s))
[20:30:04.511] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1317918.4us)
[20:30:04.511] WARN  [pair_Tarath] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 324 item(s), 3 mobile(s))
[20:30:07.103] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1290835.9us)
[20:30:07.103] WARN  [pair_Tarath] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 324 item(s), 3 mobile(s))
[20:30:09.683] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1278608.7us)
[20:30:09.683] WARN  [pair_Tarath] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 324 item(s), 3 mobile(s))
[20:30:16.943] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1385706.1us)
[20:30:16.943] WARN  [pair_Tarath] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 324 item(s), 4 mobile(s))
[20:30:19.576] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1294018.1us)
[20:30:19.576] WARN  [pair_Tarath] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 324 item(s), 4 mobile(s))
[20:30:19.638] WARN  [pair_Tarath] [travel] route exhausted at (1474,1612,20); trying to reach (1464,1608,20) to get somewhere routable (escape 1/3)
[20:30:29.184] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1276180.9us)
[20:30:29.184] WARN  [pair_Tarath] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 341 item(s), 4 mobile(s))
[20:30:31.923] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1371059.6us)
[20:30:31.923] WARN  [pair_Tarath] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 341 item(s), 4 mobile(s))
[20:30:34.508] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1291268.4us)
[20:30:34.508] WARN  [pair_Tarath] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 341 item(s), 4 mobile(s))
[20:30:38.792] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1397134.4us)
[20:30:38.792] WARN  [pair_Tarath] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 341 item(s), 4 mobile(s))
[20:30:41.473] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1348998.9us)
[20:30:41.473] WARN  [pair_Tarath] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 341 item(s), 4 mobile(s))
[20:30:47.079] WARN  [pair_Tarath] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1271160.1us)
[20:30:47.079] WARN  [pair_Tarath] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 341 item(s), 4 mobile(s))
[20:30:49.426] WARN  [pair_Tarath] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 1345306.7us)
[20:30:49.426] WARN  [pair_Tarath] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 341 item(s), 4 mobile(s))
[20:31:07.796] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:35:37.383] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:35:38.751] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:35:40.132] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:35:43.045] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:35:44.410] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:35:45.730] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:35:50.074] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:35:51.396] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:35:52.719] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:35:58.634] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:35:59.971] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:01.241] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:01.301] WARN  [pair_Tarath] [travel] route exhausted at (1471,1611,20); trying to reach (1480,1608,20) to get somewhere routable (escape 1/3)
[20:36:05.280] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:06.606] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:07.964] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:10.836] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:12.176] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:13.547] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:17.899] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:19.241] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:20.597] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:26.489] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:27.730] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:29.006] WARN  [pair_Tarath] [bot] goal (1448,1635) is not walkable; skipping A* and stopping
[20:36:29.067] WARN  [pair_Tarath] [travel] route exhausted at (1480,1608,20); trying to reach (1464,1592,20) to get somewhere routable (escape 2/3)
[20:36:36.044] WARN  [pair_Tarath] [travel] route exhausted at (1464,1592,20); trying to reach (1448,1576,30) to get somewhere routable (escape 3/3)
[20:36:46.331] WARN  [pair_Tarath] [0x21] move REJECTED seq=41; server says (1452,1584,20) facing=7
[20:36:47.069] WARN  [pair_Tarath] [0x21] move REJECTED seq=0; server says (1452,1584,20) facing=7
[20:36:47.649] WARN  [pair_Tarath] [0x21] move REJECTED seq=1; server says (1452,1584,20) facing=0
[20:36:48.406] WARN  [pair_Tarath] [0x21] move REJECTED seq=0; server says (1452,1584,20) facing=0
[20:36:49.760] WARN  [pair_Tarath] [0x21] move REJECTED seq=4; server says (1450,1584,20) facing=0
[20:36:50.517] WARN  [pair_Tarath] [0x21] move REJECTED seq=0; server says (1450,1584,20) facing=0
[20:36:54.731] WARN  [pair_Tarath] [bot] goal (1451,1564) is not walkable; skipping A* and stopping
[20:36:55.977] WARN  [pair_Tarath] [bot] goal (1452,1564) is not walkable; skipping A* and stopping
[20:36:57.192] WARN  [pair_Tarath] [bot] goal (1450,1564) is not walkable; skipping A* and stopping
[20:36:58.438] WARN  [pair_Tarath] [bot] goal (1452,1563) is not walkable; skipping A* and stopping
[20:36:59.642] WARN  [pair_Tarath] [bot] goal (1450,1563) is not walkable; skipping A* and stopping
[20:37:00.854] WARN  [pair_Tarath] [bot] goal (1451,1562) is not walkable; skipping A* and stopping
[20:37:02.006] WARN  [pair_Tarath] [bot] goal (1452,1562) is not walkable; skipping A* and stopping
[20:37:03.240] WARN  [pair_Tarath] [bot] goal (1450,1562) is not walkable; skipping A* and stopping
[20:37:04.591] WARN  [pair_Tarath] [bot] goal (1459,1564) is not walkable; skipping A* and stopping
[20:37:05.825] WARN  [pair_Tarath] [bot] goal (1460,1564) is not walkable; skipping A* and stopping
[20:37:07.051] WARN  [pair_Tarath] [bot] goal (1458,1564) is not walkable; skipping A* and stopping
[20:37:08.281] WARN  [pair_Tarath] [bot] goal (1460,1563) is not walkable; skipping A* and stopping
[20:37:09.450] WARN  [pair_Tarath] [bot] goal (1458,1563) is not walkable; skipping A* and stopping
[20:37:10.709] WARN  [pair_Tarath] [bot] goal (1459,1562) is not walkable; skipping A* and stopping
[20:37:11.880] WARN  [pair_Tarath] [bot] goal (1460,1562) is not walkable; skipping A* and stopping
[20:37:13.189] WARN  [pair_Tarath] [bot] goal (1458,1562) is not walkable; skipping A* and stopping
[20:37:36.185] WARN  [pair_Tarath] [travel] route exhausted at (1420,1571,30); trying to reach (1432,1560,30) to get somewhere routable (escape 1/3)
[20:37:41.633] WARN  [pair_Tarath] [travel] route exhausted at (1432,1560,30); trying to reach (1416,1544,30) to get somewhere routable (escape 2/3)
[20:37:43.167] WARN  [pair_Tarath] [bot] no path to (1416,1544) avoiding 0 block(s); stopping (search 1521307.7us)
[20:37:43.167] WARN  [pair_Tarath] [bot] start (1432,1560,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 621 item(s), 2 mobile(s))
[20:37:43.229] WARN  [pair_Tarath] [travel] route exhausted at (1432,1560,30); trying to reach (1432,1544,30) to get somewhere routable (escape 3/3)
[20:38:42.784] WARN  [pair_Tarath] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 1513642.2us)
[20:38:42.784] WARN  [pair_Tarath] [bot] start (1432,1560,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 625 item(s), 3 mobile(s))
[20:38:45.669] WARN  [pair_Tarath] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 1561921.4us)
[20:38:45.669] WARN  [pair_Tarath] [bot] start (1432,1560,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 625 item(s), 3 mobile(s))
[20:38:48.570] WARN  [pair_Tarath] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 1523546.1us)
[20:38:48.570] WARN  [pair_Tarath] [bot] start (1432,1560,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 625 item(s), 2 mobile(s))
[20:39:00.467] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:39:49.053] WARN  [pair_Tarath] [0x21] move REJECTED seq=19; server says (1439,1693,0) facing=3
[20:39:49.054] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:41:01.016] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
